,Is your research data automatically backed up?,Did you lose any research data in the past year?,You said you lost research data in the past year. How much time did you lose?,How frequently do you have problems finding a specific research data file in your collection?,"Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?",You said that you are currently using tools for data management. What are these tool(s)?,Would you be interested in trying out a dedicated tool for research data management?,Does your project have a data management plan?,Do you know who owns the research data that you are creating?,You said you know who owns the research data that you are creating. Who is it?,Who do you think is responsible for the stewardship of research data resulting from your project?,"Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?",Are you aware of research data repositories?,Please provide us with the name(s) of the repository(ies) that you are using,Please indicate if you (or related staff / students) would be interested in any potential training on research data management,Which institution are you from?,Have you heard about dedicated support for research data management at EPFL?,"Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]","Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]","Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]",Do you share data files associated with your publications?,Please specify where you share your data,What is your position?,"Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?",Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?,Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?,What is your position?,Which faculty are you from?
333,No,No,,Sometimes,No,,Yes,No,No,,Myself;My university/institution,Not sure,Not sure,,General introduction to research data management;Data backup and storage solutions;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,No,No,No,PhD student,CiTG - Civil Engineering and Geosciences
334,No,No,,Almost never,Yes,,,No,Yes,,Myself;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,No,PhD student,CiTG - Civil Engineering and Geosciences
335,Yes,No,,Sometimes,Yes,,,No,Yes,,My supervisor;My university/institution;My funding agency,No,Not sure,,Organising folders and files;Data backup and storage solutions;Using version control software;Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,CiTG - Civil Engineering and Geosciences
336,Yes,No,,Almost never,No,,Not sure,No,Not sure,,Myself;My supervisor;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator),No,"No, I have no idea what these are",,Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,CiTG - Civil Engineering and Geosciences
337,No,No,,Sometimes,No,,Not sure,Yes,Not sure,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;Data ownership and licensing,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Postdoc/Researcher,CiTG - Civil Engineering and Geosciences
338,No,No,,Almost never,No,,Yes,No,Not sure,,Myself;My supervisor,Not sure,"No, I have no idea what these are",,How to use repositories for data sharing and searching for existing datasets;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,CiTG - Civil Engineering and Geosciences
339,No,No,,Almost never,No,,Yes,No,No,,Myself;My supervisor;My university/institution;My funding agency,Not sure,Not sure,,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,TU Delft,,,,,,,,,,,,,,,,,No,No,No,PhD student,CiTG - Civil Engineering and Geosciences
340,No,No,,Sometimes,No,,Yes,No,Yes,,Myself;My university/institution,No,"Yes, I am already using them to find existing datasets or to share my own data",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,No,PhD student,CiTG - Civil Engineering and Geosciences
341,Yes,No,,Frequently,No,,No,Not sure,No,,Myself;My supervisor;My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;Data management plan preparation;Data ownership and licensing;Using version control software,TU Delft,,,,,,,,,,,,,,,,,No,Yes,No,PhD student,CiTG - Civil Engineering and Geosciences
342,Yes,No,,Almost never,No,,Yes,No,Not sure,,Myself;My supervisor,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;How to use repositories for data sharing and searching for existing datasets;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,No,No,No,Visiting PhD student,CiTG - Civil Engineering and Geosciences
343,Yes,No,,Never,No,,Yes,Yes,Yes,,Myself;Project partner (e.g. commercial company or a collaborator),Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,CiTG - Civil Engineering and Geosciences
344,No,No,,Sometimes,No,,Yes,Yes,No,,Myself;My supervisor,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data backup and storage solutions;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,PhD student,CiTG - Civil Engineering and Geosciences
345,No,No,,Sometimes,No,,Yes,No,Not sure,,Myself;My supervisor;My funding agency,Not sure,"No, I have no idea what these are",,General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,Not sure,PhD student,CiTG - Civil Engineering and Geosciences
346,Yes,Yes,Less than 1 day,Almost never,No,,Yes,Not sure,Not sure,,Myself;My supervisor;My university/institution,No,Not sure,,General introduction to research data management;Organising folders and files,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,Master student Researcher,CiTG - Civil Engineering and Geosciences
347,Not sure,No,,Sometimes,No,,Yes,Not sure,Not sure,,Myself;My supervisor;My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,PhD student,CiTG - Civil Engineering and Geosciences
348,No,No,,Sometimes,No,,Yes,Not sure,Not sure,,My supervisor,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation,TU Delft,,,,,,,,,,,,,,,,,No,No,No,Postdoc/Researcher,CiTG - Civil Engineering and Geosciences
349,Yes,No,,Almost never,No,,Not sure,Yes,Yes,,My supervisor;My university/institution;My funding agency,Yes,"Yes, I am already using them to find existing datasets or to share my own data",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Yes,Not sure,Not sure,PhD student,CiTG - Civil Engineering and Geosciences
350,No,No,,Sometimes,Yes,,,Not sure,Not sure,,Myself;My funding agency,Not sure,"No, I have no idea what these are",,Data backup and storage solutions;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,Not sure,Not sure,PhD student,CiTG - Civil Engineering and Geosciences
351,No,No,,Almost never,Yes,,,Yes,Not sure,,Myself;My supervisor;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator);Not sure,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,Yes,PhD student,CiTG - Civil Engineering and Geosciences
352,Yes,No,,Almost never,No,,Yes,Yes,Not sure,,Myself;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,No,PhD student,CiTG - Civil Engineering and Geosciences
353,Yes,Yes,7 days - 1 month,Sometimes,No,,Yes,No,Not sure,,Myself;My supervisor,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,CiTG - Civil Engineering and Geosciences
354,Yes,No,,Almost never,No,,Not sure,No,Yes,,Myself;My supervisor;My unit's IT manager;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Postdoc/Researcher,CiTG - Civil Engineering and Geosciences
355,Yes,No,,Sometimes,No,,Yes,No,Yes,,My university/institution;Project partner (e.g. commercial company or a collaborator),Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Postdoc/Researcher,CiTG - Civil Engineering and Geosciences
356,No,Yes,7 days - 1 month,Sometimes,No,,Not sure,No,Yes,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;Funders’ requirements for data management and sharing,TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,Not sure,Assistant Professor,CiTG - Civil Engineering and Geosciences
357,Yes,No,,Almost never,Yes,,,Not sure,No,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing,TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,No,PhD student,CiTG - Civil Engineering and Geosciences
358,Yes,Not sure,,Frequently,Yes,,,Yes,Yes,,Myself;My supervisor;My funding agency,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,Not sure,No,PhD student,CiTG - Civil Engineering and Geosciences
359,Not sure,No,,Sometimes,No,,Yes,No,Not sure,,Myself;My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,PhD student,CiTG - Civil Engineering and Geosciences
360,Not sure,No,,Never,No,,Not sure,No,No,,My university/institution,No,"No, I have no idea what these are",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,Postdoc/Researcher,CiTG - Civil Engineering and Geosciences
361,Not sure,No,,Never,Yes,,,Not sure,Not sure,,Myself;My supervisor;My unit's IT manager;My university/institution;Project partner (e.g. commercial company or a collaborator),Not sure,Not sure,,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Postdoc/Researcher,CiTG - Civil Engineering and Geosciences
362,Not sure,No,,Very frequently,Yes,,,Not sure,No,,Myself;My supervisor,Not sure,"Yes, I am already using them to find existing datasets or to share my own data",,Organising folders and files;Data management plan preparation;Data backup and storage solutions,TU Delft,,,,,,,,,,,,,,,,,Not sure,Not sure,Not sure,PhD student,CiTG - Civil Engineering and Geosciences
363,Not sure,No,,Almost never,No,,Not sure,No,Not sure,,Myself;My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Postdoc/Researcher,CiTG - Civil Engineering and Geosciences
364,No,No,,Almost never,No,,Not sure,Not sure,Not sure,,Not sure,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;Data ownership and licensing,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,CiTG - Civil Engineering and Geosciences
365,Not sure,No,,Sometimes,No,,Not sure,Yes,Not sure,,Myself;My supervisor;My university/institution;Project partner (e.g. commercial company or a collaborator),No,"No, I have no idea what these are",,Data backup and storage solutions;Funders’ requirements for data management and sharing,TU Delft,,,,,,,,,,,,,,,,,No,No,No,Postdoc/Researcher,CiTG - Civil Engineering and Geosciences
366,Not sure,No,,Frequently,Not sure,,Yes,Yes,Not sure,,Myself;My university/institution,Yes,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,TU Delft,,,,,,,,,,,,,,,,,No,No,No,PhD student,CiTG - Civil Engineering and Geosciences
